CoastPN,Item,Level,Name,Class,PerUnit,Unit,PartDwg,Rev,ManFSCM
3150,5,3,BRACKET,,1,EA,"3/16 x 3/16, Horiz., STYLE A"""," CAD PLD""",-
31504,20,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31506,20,4,"PINS, TERMINAL",,4,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31506-1,7,3,"WIRE, TC (#20 AWG)",,4,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 3"",-""",,
31506-2,11,4,"PINS, TERMINAL",,4,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31528,24,3,"CASE, POTTING",,1,EA,1-0259 (Mod: HT=.250," 8 Holes)""",-
31529,10,4,"PINS, TERMINAL",,15,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31534,11,4,"PINS, TERMINAL",,6,EA,"LW0.029C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31535,7,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31536,8,4,"PINS, TERMINAL",,7,EA,"LW0.025C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31537,10,4,"PINS, TERMINAL",,7,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31538,9,4,"PINS, TERMINAL",,4,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31540,19,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31541,18,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31542,18,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31543,19,4,"PINS, TERMINAL",,2,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31544,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BROWN & GREEN""",-
31546,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BLACK & ORANGE""",-
31547,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," GREEN & YELLOW""",-
31548,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BLACK & BLUE""",-
31549,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BROWN & GREEN""",-
31550,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BLACK & ORANGE""",-
31551,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," GREEN & YELLOW""",-
31552,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," VIOLET & GREEN""",-
31553,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BROWN & GREEN""",-
31554,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BROWN & WHITE""",-
31555,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," RED & GREEN""",-
31556,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," BLACK & ORANGE""",-
31557,4,3,TEFLON LEADS,003E,2,EA,6 #28 AWG TEFLON LEADS," GREEN & YELLOW""",-
31562,14,4,"PINS, TERMINAL",,14,EA,"LW0.032C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31565,4,4,"3 PHASE, 6 Mil SILICON",,1,SET,D=1," E=1/4"" (2E=1/2"")"," F=5/8"""
31566,4,4,"CUT CORE, 2 Mil SILICON",,2,SET,D=5/8," E=3/8"""," F=3/4"""
31567,6,1,"PINS, TERMINAL",,8,EA,"LWO.040C-32-N PER MIL-STD-1276D, CUT 3"",-""",W0002,
31711,9,2,"WIRE, TC (#20AWG)",,12,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
31711-2,10,2,"WIRE, TC (#20AWG)",,12,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
31712-2,9,2,"WIRE, TC (#20AWG)",,12,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
31713-2,8,2,"WIRE, TC (#20AWG)",,12,EA,"LW-0.032C-32-N PER MIL-STD-1276, CUT 1"",-""",,
31715,8,1,"PINS, TERMINAL",,3,EA,"LWO.051-C-32-N PER MIL-STD-1276D, CUT 3"","",""",,
31715,11,1,"PINS, TERMINAL",,8,EA,"LWO.040-C-32-N PER MIL-STD-1276D, CUT 3"","",""",,
